epoch,train_loss,test_miou,oa,non_iou,landslide_iou,landslide_f1,precision,recall,tn,fp,fn,tp
16,0.7657745480537415,0.658532556657931,0.9674804687494095,0.9669004590940076,0.3501646542218543,0.5186991391634768,0.6556291390578756,0.42908384396309845,155641.0,1508.0,3820.0,2871.0
17,0.7726083159446716,0.6729546808881026,0.966583251952535,0.9658844495395392,0.38002491223666596,0.5507507505045302,0.6106259097414369,0.5015692721491322,155009.0,2140.0,3335.0,3356.0
18,0.7335847020149231,0.6780045946976248,0.9632751464837871,0.9623782310196941,0.39363095837555545,0.5648997981892768,0.5472121042232109,0.5837692422570054,153917.0,3232.0,2785.0,3906.0
19,0.7166899919509888,0.6789841881121524,0.9644226074212864,0.9635787658387921,0.3943896103855128,0.565680599720035,0.5640416047464482,0.5673292482354307,154215.0,2934.0,2895.0,3796.0
20,0.7264035940170288,0.6826220810794726,0.9678161621087843,0.9671160945912947,0.3981280675676506,0.5695158292657461,0.6275638718850745,0.5212972649750217,155079.0,2070.0,3203.0,3488.0
21,0.7110915780067444,0.669761710814893,0.968402099608784,0.9678001206634234,0.3717233009663625,0.5419799569903155,0.6641370338104047,0.4577791062553015,155600.0,1549.0,3628.0,3063.0
22,0.7042760968208313,0.6671592978884998,0.968273925780659,0.9676803601289753,0.36663823564802434,0.5365548733958012,0.6649723756759123,0.44970856373561935,155633.0,1516.0,3682.0,3009.0
23,0.6909063339233399,0.6653993754986997,0.9662353515619102,0.9655663929981478,0.36523235799925147,0.5350478579801459,0.6112924908659249,0.47571364518792836,155125.0,2024.0,3508.0,3183.0
24,0.6995651841163635,0.6645287104995794,0.963458251952537,0.9626694434392731,0.3663879775598858,0.5362868372087304,0.5565916398624342,0.5174114482062859,154391.0,2758.0,3229.0,3462.0
25,0.6720432877540589,0.6755031823548627,0.9660278320306603,0.965287349152786,0.3857190155569394,0.5567059075187677,0.5959079283785864,0.5223434464127583,154779.0,2370.0,3196.0,3495.0
26,0.6627751588821411,0.680078285335866,0.9677612304681593,0.9670737256802704,0.39308284499146173,0.5643351534323457,0.6296705319228848,0.5112838140709717,155137.0,2012.0,3270.0,3421.0
27,0.6826669096946716,0.6776182238087236,0.9693115234369084,0.9687064329808749,0.3865300146365723,0.5575501099618259,0.6779370853696141,0.47347182782135,155644.0,1505.0,3523.0,3168.0
28,0.6774773716926574,0.6844432503759181,0.9693359374994084,0.9686954787890878,0.4001910219627484,0.5716234161961892,0.6654754814241518,0.5009714541847112,155464.0,1685.0,3339.0,3352.0
29,0.6503083944320679,0.6829299644004089,0.9691223144525335,0.9684805363100182,0.3973793924907995,0.5687494182042655,0.661904761891629,0.49858018232702767,155445.0,1704.0,3355.0,3336.0
30,0.6583818554878235,0.6804872937962475,0.9687011718744087,0.9680540240834732,0.3929205635090219,0.5641678924600276,0.6539901477703648,0.49603945597823884,155393.0,1756.0,3372.0,3319.0
31,0.6461325287818909,0.6697597877953745,0.968365478515034,0.9677619998376794,0.37175757575306956,0.5420163871062609,0.662991785545547,0.45837692421972237,155590.0,1559.0,3624.0,3067.0
32,0.6384054064750672,0.6629934103664343,0.968237304686909,0.9676637627841428,0.358323057948726,0.5275961759715708,0.6719075144353316,0.4343147511517813,155730.0,1419.0,3785.0,2906.0
33,0.6491295576095581,0.6657596649718562,0.9674621582025345,0.9668428909062279,0.3646764390374845,0.5344510910509596,0.6428571428436375,0.4573307427819858,155449.0,1700.0,3631.0,3060.0
