TP,FP,FN,TN,IoU,Precision,Recall,F1,Positive_Ratio_%,Area_Group,Sample
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_215.h5
0,989,0,15395,0.0,0.0,0.0,0.0,0.0,0-1%,image_216.h5
0,10,0,16374,0.0,0.0,0.0,0.0,0.0,0-1%,image_217.h5
93,164,501,15626,0.12269129287598944,0.36186770428015563,0.15656565656565657,0.21856639247943596,3.62548828125,3-5%,image_218.h5
0,0,13,16371,0.0,0.0,0.0,0.0,0.079345703125,0-1%,image_219.h5
0,0,1751,14633,0.0,0.0,0.0,0.0,10.687255859375,>5%,image_22.h5
0,0,28,16356,0.0,0.0,0.0,0.0,0.1708984375,0-1%,image_220.h5
272,1127,77,14908,0.1842818428184282,0.19442458899213724,0.7793696275071633,0.3112128146453089,2.130126953125,1-3%,image_221.h5
0,0,58,16326,0.0,0.0,0.0,0.0,0.35400390625,0-1%,image_222.h5
104,866,146,15268,0.0931899641577061,0.10721649484536082,0.416,0.17049180327868851,1.52587890625,1-3%,image_223.h5
0,732,0,15652,0.0,0.0,0.0,0.0,0.0,0-1%,image_224.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_225.h5
0,0,198,16186,0.0,0.0,0.0,0.0,1.20849609375,1-3%,image_226.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_227.h5
0,0,166,16218,0.0,0.0,0.0,0.0,1.01318359375,1-3%,image_228.h5
41,0,199,16144,0.17083333333333334,1.0,0.17083333333333334,0.2918149466192171,1.46484375,1-3%,image_229.h5
0,0,276,16108,0.0,0.0,0.0,0.0,1.6845703125,1-3%,image_23.h5
331,134,64,15855,0.6257088846880907,0.7118279569892473,0.8379746835443038,0.7697674418604651,2.410888671875,1-3%,image_230.h5
0,0,70,16314,0.0,0.0,0.0,0.0,0.42724609375,0-1%,image_231.h5
49,216,10,16109,0.1781818181818182,0.18490566037735848,0.8305084745762712,0.30246913580246915,0.360107421875,0-1%,image_232.h5
0,0,8,16376,0.0,0.0,0.0,0.0,0.048828125,0-1%,image_233.h5
0,135,74,16175,0.0,0.0,0.0,0.0,0.45166015625,0-1%,image_234.h5
